Time,Instrument,Operation,OrderId,Side,Volume,Price,Lifespan
3.95,1,Cancel,33,,,,G
4.0,1,Insert,34,B,9,101,G
4.0,1,Insert,35,A,9,99,G
4.2,1,Cancel,34,,,,G
4.2,1,Cancel,35,,,,G
4.25,1,Insert,36,B,9,101,G
4.25,1,Insert,37,A,9,99,G
4.45,1,Cancel,36,,,,G
4.45,1,Cancel,37,,,,G
4.5,1,Insert,38,B,9,101,G
4.5,1,Insert,39,A,9,99,G
4.7,1,Cancel,38,,,,G
4.7,1,Cancel,39,,,,G
4.75,1,Insert,40,B,9,101,G
4.75,1,Insert,41,A,9,99,G
4.95,1,Cancel,40,,,,G
4.95,1,Cancel,41,,,,G
5.0,1,Insert,42,B,9,101,G
5.0,1,Insert,43,A,9,99,G
5.2,1,Cancel,42,,,,G
5.2,1,Cancel,43,,,,G
5.25,1,Insert,44,B,9,101,G
5.25,1,Insert,45,A,9,99,G
5.45,1,Cancel,44,,,,G
5.45,1,Cancel,45,,,,G
5.5,1,Insert,46,B,9,101,G
5.5,1,Insert,47,A,9,99,G
5.7,1,Cancel,46,,,,G
5.7,1,Cancel,47,,,,G
5.75,1,Insert,48,B,9,101,G
5.75,1,Insert,49,A,9,99,G
5.95,1,Cancel,48,,,,G
5.95,1,Cancel,49,,,,G
6.0,1,Insert,50,B,9,101,G
6.0,1,Insert,51,A,9,99,G
6.2,1,Cancel,50,,,,G
6.2,1,Cancel,51,,,,G
6.25,1,Insert,52,B,9,101,G
6.25,1,Insert,53,A,9,99,G
6.45,1,Cancel,52,,,,G
6.45,1,Cancel,53,,,,G
6.5,1,Insert,54,B,9,101,G
6.5,1,Insert,55,A,9,99,G
6.7,1,Cancel,54,,,,G
6.7,1,Cancel,55,,,,G
6.75,1,Insert,56,B,9,101,G
6.75,1,Insert,57,A,9,99,G
6.95,1,Cancel,56,,,,G
6.95,1,Cancel,57,,,,G
7.0,1,Insert,58,B,9,101,G
7.0,1,Insert,59,A,9,99,G
7.2,1,Cancel,58,,,,G
7.2,1,Cancel,59,,,,G
7.25,1,Insert,60,B,9,101,G
7.25,1,Insert,61,A,9,99,G
7.45,1,Cancel,60,,,,G
7.45,1,Cancel,61,,,,G
7.5,1,Insert,62,B,9,101,G
7.5,1,Insert,63,A,9,99,G
7.7,1,Cancel,62,,,,G
7.7,1,Cancel,63,,,,G
7.75,1,Insert,64,B,9,101,G
7.75,1,Insert,65,A,9,99,G
7.95,1,Cancel,64,,,,G
7.95,1,Cancel,65,,,,G
8.0,1,Insert,66,B,9,101,G
8.0,1,Insert,67,A,9,99,G
8.2,1,Cancel,66,,,,G
8.2,1,Cancel,67,,,,G
8.25,1,Insert,68,B,9,101,G
8.25,1,Insert,69,A,9,99,G
8.45,1,Cancel,68,,,,G
8.45,1,Cancel,69,,,,G
8.5,1,Insert,70,B,9,101,G
8.5,1,Insert,71,A,9,99,G
8.7,1,Cancel,70,,,,G
8.7,1,Cancel,71,,,,G
8.75,1,Insert,72,B,9,101,G
8.75,1,Insert,73,A,9,99,G
8.95,1,Cancel,72,,,,G
8.95,1,Cancel,73,,,,G
9.0,1,Insert,74,B,9,101,G
9.0,1,Insert,75,A,9,99,G
9.2,1,Cancel,74,,,,G
9.2,1,Cancel,75,,,,G
9.25,1,Insert,76,B,9,101,G
9.25,1,Insert,77,A,9,99,G
9.45,1,Cancel,76,,,,G
9.45,1,Cancel,77,,,,G
9.5,1,Insert,78,B,9,101,G
9.5,1,Insert,79,A,9,99,G
9.7,1,Cancel,78,,,,G
9.7,1,Cancel,79,,,,G
9.75,1,Insert,80,B,9,101,G
9.75,1,Insert,81,A,9,99,G
9.95,1,Cancel,80,,,,G
9.95,1,Cancel,81,,,,G
10.0,1,Insert,82,B,9,101,G
10.0,1,Insert,83,A,9,99,G
10.2,1,Cancel,82,,,,G
10.2,1,Cancel,83,,,,G
10.25,1,Insert,84,B,9,101,G
10.25,1,Insert,85,A,9,99,G
10.45,1,Cancel,84,,,,G
10.45,1,Cancel,85,,,,G
10.5,1,Insert,86,B,9,101,G
10.5,1,Insert,87,A,9,99,G
10.7,1,Cancel,86,,,,G
10.7,1,Cancel,87,,,,G
10.75,1,Insert,88,B,9,101,G
10.75,1,Insert,89,A,9,99,G
10.95,1,Cancel,88,,,,G
10.95,1,Cancel,89,,,,G
11.0,1,Insert,90,B,9,101,G
11.0,1,Insert,91,A,9,99,G
11.2,1,Cancel,90,,,,G
11.2,1,Cancel,91,,,,G
11.25,1,Insert,92,B,9,101,G
11.25,1,Insert,93,A,9,99,G
11.45,1,Cancel,92,,,,G
11.45,1,Cancel,93,,,,G
11.5,1,Insert,94,B,9,101,G
11.5,1,Insert,95,A,9,99,G
11.7,1,Cancel,94,,,,G
11.7,1,Cancel,95,,,,G
11.75,1,Insert,96,B,9,101,G
11.75,1,Insert,97,A,9,99,G
11.95,1,Cancel,96,,,,G
11.95,1,Cancel,97,,,,G
12.0,1,Insert,98,B,9,101,G
12.0,1,Insert,99,A,9,99,G
12.2,1,Cancel,98,,,,G
12.2,1,Cancel,99,,,,G
12.25,1,Insert,100,B,9,101,G
12.25,1,Insert,101,A,9,99,G
12.45,1,Cancel,100,,,,G
12.45,1,Cancel,101,,,,G
12.5,1,Insert,102,B,9,101,G
12.5,1,Insert,103,A,9,99,G
12.7,1,Cancel,102,,,,G
12.7,1,Cancel,103,,,,G
12.75,1,Insert,104,B,9,101,G
12.75,1,Insert,105,A,9,99,G
12.95,1,Cancel,104,,,,G
12.95,1,Cancel,105,,,,G
13.0,1,Insert,106,B,9,101,G
13.0,1,Insert,107,A,9,99,G
13.2,1,Cancel,106,,,,G
13.2,1,Cancel,107,,,,G
13.25,1,Insert,108,B,9,101,G
13.25,1,Insert,109,A,9,99,G
13.45,1,Cancel,108,,,,G
13.45,1,Cancel,109,,,,G
13.5,1,Insert,110,B,9,101,G
13.5,1,Insert,111,A,9,99,G
13.7,1,Cancel,110,,,,G
13.7,1,Cancel,111,,,,G
13.75,1,Insert,112,B,9,101,G
13.75,1,Insert,113,A,9,99,G
13.95,1,Cancel,112,,,,G
13.95,1,Cancel,113,,,,G
14.0,1,Insert,114,B,9,101,G
14.0,1,Insert,115,A,9,99,G
14.2,1,Cancel,114,,,,G
14.2,1,Cancel,115,,,,G
14.25,1,Insert,116,B,9,101,G
14.25,1,Insert,117,A,9,99,G
14.45,1,Cancel,116,,,,G
14.45,1,Cancel,117,,,,G
14.5,1,Insert,118,B,9,101,G
14.5,1,Insert,119,A,9,99,G
14.7,1,Cancel,118,,,,G
14.7,1,Cancel,119,,,,G
14.75,1,Insert,120,B,9,101,G
14.75,1,Insert,121,A,9,99,G
14.95,1,Cancel,120,,,,G
14.95,1,Cancel,121,,,,G
15.0,1,Insert,122,B,9,101,G
15.0,1,Insert,123,A,9,99,G
15.2,1,Cancel,122,,,,G
15.2,1,Cancel,123,,,,G
15.25,1,Insert,124,B,9,101,G
15.25,1,Insert,125,A,9,99,G
15.45,1,Cancel,124,,,,G
15.45,1,Cancel,125,,,,G
15.5,1,Insert,126,B,9,101,G
15.5,1,Insert,127,A,9,99,G
15.7,1,Cancel,126,,,,G
15.7,1,Cancel,127,,,,G
15.75,1,Insert,128,B,9,101,G
15.75,1,Insert,129,A,9,99,G
15.95,1,Cancel,128,,,,G
15.95,1,Cancel,129,,,,G
16.0,1,Insert,130,B,9,101,G
16.0,1,Insert,131,A,9,99,G
16.2,1,Cancel,130,,,,G
16.2,1,Cancel,131,,,,G
16.25,1,Insert,132,B,9,101,G
16.25,1,Insert,133,A,9,99,G
16.45,1,Cancel,132,,,,G
16.45,1,Cancel,133,,,,G
16.5,1,Insert,134,B,9,101,G
16.5,1,Insert,135,A,9,99,G
16.7,1,Cancel,134,,,,G
16.7,1,Cancel,135,,,,G
16.75,1,Insert,136,B,9,101,G
16.75,1,Insert,137,A,9,99,G
16.95,1,Cancel,136,,,,G
16.95,1,Cancel,137,,,,G
17.0,1,Insert,138,B,9,101,G
17.0,1,Insert,139,A,9,99,G
17.2,1,Cancel,138,,,,G
17.2,1,Cancel,139,,,,G
17.25,1,Insert,140,B,9,101,G
17.25,1,Insert,141,A,9,99,G
17.45,1,Cancel,140,,,,G
17.45,1,Cancel,141,,,,G
17.5,1,Insert,142,B,9,101,G
17.5,1,Insert,143,A,9,99,G
17.7,1,Cancel,142,,,,G
17.7,1,Cancel,143,,,,G
17.75,1,Insert,144,B,9,101,G
17.75,1,Insert,145,A,9,99,G
17.95,1,Cancel,144,,,,G
17.95,1,Cancel,145,,,,G
18.0,1,Insert,146,B,9,101,G
18.0,1,Insert,147,A,9,99,G
18.2,1,Cancel,146,,,,G
18.2,1,Cancel,147,,,,G
18.25,1,Insert,148,B,9,101,G
18.25,1,Insert,149,A,9,99,G
18.45,1,Cancel,148,,,,G
18.45,1,Cancel,149,,,,G
18.5,1,Insert,150,B,9,101,G
18.5,1,Insert,151,A,9,99,G
18.7,1,Cancel,150,,,,G
18.7,1,Cancel,151,,,,G
18.75,1,Insert,152,B,9,101,G
18.75,1,Insert,153,A,9,99,G
18.95,1,Cancel,152,,,,G
18.95,1,Cancel,153,,,,G
19.0,1,Insert,154,B,9,101,G
19.0,1,Insert,155,A,9,99,G
19.2,1,Cancel,154,,,,G
19.2,1,Cancel,155,,,,G
19.25,1,Insert,156,B,9,101,G
19.25,1,Insert,157,A,9,99,G
19.45,1,Cancel,156,,,,G
19.45,1,Cancel,157,,,,G
19.5,1,Insert,158,B,9,101,G
19.5,1,Insert,159,A,9,99,G
19.7,1,Cancel,158,,,,G
19.7,1,Cancel,159,,,,G
19.75,1,Insert,160,B,9,101,G
19.75,1,Insert,161,A,9,99,G
19.95,1,Cancel,160,,,,G
19.95,1,Cancel,161,,,,G
20.0,1,Insert,162,B,9,101,G
20.0,1,Insert,163,A,9,99,G
20.2,1,Cancel,162,,,,G
20.2,1,Cancel,163,,,,G
20.25,1,Insert,164,B,9,101,G
20.25,1,Insert,165,A,9,99,G
20.45,1,Cancel,164,,,,G
20.45,1,Cancel,165,,,,G
20.5,1,Insert,166,B,9,101,G
20.5,1,Insert,167,A,9,99,G
20.7,1,Cancel,166,,,,G
20.7,1,Cancel,167,,,,G
20.75,1,Insert,168,B,9,101,G
20.75,1,Insert,169,A,9,99,G
20.95,1,Cancel,168,,,,G
20.95,1,Cancel,169,,,,G
21.0,1,Insert,170,B,9,101,G
21.0,1,Insert,171,A,9,99,G
21.2,1,Cancel,170,,,,G
21.2,1,Cancel,171,,,,G
21.25,1,Insert,172,B,9,101,G
21.25,1,Insert,173,A,9,99,G
21.45,1,Cancel,172,,,,G
21.45,1,Cancel,173,,,,G
21.5,1,Insert,174,B,9,101,G
21.5,1,Insert,175,A,9,99,G
21.7,1,Cancel,174,,,,G
21.7,1,Cancel,175,,,,G
21.75,1,Insert,176,B,9,101,G
21.75,1,Insert,177,A,9,99,G
21.95,1,Cancel,176,,,,G
21.95,1,Cancel,177,,,,G
22.0,1,Insert,178,B,9,101,G
22.0,1,Insert,179,A,9,99,G
22.2,1,Cancel,178,,,,G
22.2,1,Cancel,179,,,,G
22.25,1,Insert,180,B,9,101,G
22.25,1,Insert,181,A,9,99,G
22.45,1,Cancel,180,,,,G
22.45,1,Cancel,181,,,,G
22.5,1,Insert,182,B,9,101,G
22.5,1,Insert,183,A,9,99,G
22.7,1,Cancel,182,,,,G
22.7,1,Cancel,183,,,,G
22.75,1,Insert,184,B,9,101,G
22.75,1,Insert,185,A,9,99,G
22.95,1,Cancel,184,,,,G
22.95,1,Cancel,185,,,,G
23.0,1,Insert,186,B,9,101,G
23.0,1,Insert,187,A,9,99,G
23.2,1,Cancel,186,,,,G
23.2,1,Cancel,187,,,,G
23.25,1,Insert,188,B,9,101,G
23.25,1,Insert,189,A,9,99,G
23.45,1,Cancel,188,,,,G
23.45,1,Cancel,189,,,,G
23.5,1,Insert,190,B,9,101,G
23.5,1,Insert,191,A,9,99,G
23.7,1,Cancel,190,,,,G
23.7,1,Cancel,191,,,,G
23.75,1,Insert,192,B,9,101,G
23.75,1,Insert,193,A,9,99,G
23.95,1,Cancel,192,,,,G
23.95,1,Cancel,193,,,,G
24.0,1,Insert,194,B,9,101,G
24.0,1,Insert,195,A,9,99,G
24.2,1,Cancel,194,,,,G
24.2,1,Cancel,195,,,,G
24.25,1,Insert,196,B,9,101,G
24.25,1,Insert,197,A,9,99,G
24.45,1,Cancel,196,,,,G
24.45,1,Cancel,197,,,,G
24.5,1,Insert,198,B,9,101,G
24.5,1,Insert,199,A,9,99,G
24.7,1,Cancel,198,,,,G
24.7,1,Cancel,199,,,,G
24.75,1,Insert,200,B,9,101,G
24.75,1,Insert,201,A,9,99,G
24.95,1,Cancel,200,,,,G
24.95,1,Cancel,201,,,,G
25.0,1,Insert,202,B,9,101,G
25.0,1,Insert,203,A,9,99,G
25.2,1,Cancel,202,,,,G
25.2,1,Cancel,203,,,,G
25.25,1,Insert,204,B,9,101,G
25.25,1,Insert,205,A,9,99,G
25.45,1,Cancel,204,,,,G
25.45,1,Cancel,205,,,,G
25.5,1,Insert,206,B,9,101,G
25.5,1,Insert,207,A,9,99,G
25.7,1,Cancel,206,,,,G
25.7,1,Cancel,207,,,,G
25.75,1,Insert,208,B,9,101,G
25.75,1,Insert,209,A,9,99,G
25.95,1,Cancel,208,,,,G
25.95,1,Cancel,209,,,,G
26.0,1,Insert,210,B,9,101,G
26.0,1,Insert,211,A,9,99,G
26.2,1,Cancel,210,,,,G
26.2,1,Cancel,211,,,,G
26.25,1,Insert,212,B,9,101,G
26.25,1,Insert,213,A,9,99,G
26.45,1,Cancel,212,,,,G
26.45,1,Cancel,213,,,,G
26.5,1,Insert,214,B,9,101,G
26.5,1,Insert,215,A,9,99,G
26.7,1,Cancel,214,,,,G
26.7,1,Cancel,215,,,,G
26.75,1,Insert,216,B,9,101,G
26.75,1,Insert,217,A,9,99,G
26.95,1,Cancel,216,,,,G
26.95,1,Cancel,217,,,,G
27.0,1,Insert,218,B,9,101,G
27.0,1,Insert,219,A,9,99,G
27.2,1,Cancel,218,,,,G
27.2,1,Cancel,219,,,,G
27.25,1,Insert,220,B,9,101,G
27.25,1,Insert,221,A,9,99,G
27.45,1,Cancel,220,,,,G
27.45,1,Cancel,221,,,,G
27.5,1,Insert,222,B,9,101,G
27.5,1,Insert,223,A,9,99,G
27.7,1,Cancel,222,,,,G
27.7,1,Cancel,223,,,,G
27.75,1,Insert,224,B,9,101,G
27.75,1,Insert,225,A,9,99,G
27.95,1,Cancel,224,,,,G
27.95,1,Cancel,225,,,,G
28.0,1,Insert,226,B,9,101,G
28.0,1,Insert,227,A,9,99,G
28.2,1,Cancel,226,,,,G
28.2,1,Cancel,227,,,,G
28.25,1,Insert,228,B,9,101,G
28.25,1,Insert,229,A,9,99,G
28.45,1,Cancel,228,,,,G
28.45,1,Cancel,229,,,,G
28.5,1,Insert,230,B,9,101,G
28.5,1,Insert,231,A,9,99,G
28.7,1,Cancel,230,,,,G
28.7,1,Cancel,231,,,,G
28.75,1,Insert,232,B,9,101,G
28.75,1,Insert,233,A,9,99,G
28.95,1,Cancel,232,,,,G
28.95,1,Cancel,233,,,,G
29.0,1,Insert,234,B,9,101,G
29.0,1,Insert,235,A,9,99,G
29.2,1,Cancel,234,,,,G
29.2,1,Cancel,235,,,,G
29.25,1,Insert,236,B,9,101,G
29.25,1,Insert,237,A,9,99,G
29.45,1,Cancel,236,,,,G
29.45,1,Cancel,237,,,,G
29.5,1,Insert,238,B,9,101,G
29.5,1,Insert,239,A,9,99,G
29.7,1,Cancel,238,,,,G
29.7,1,Cancel,239,,,,G
29.75,1,Insert,240,B,9,101,G
29.75,1,Insert,241,A,9,99,G
29.95,1,Cancel,240,,,,G
29.95,1,Cancel,241,,,,G
30.0,1,Insert,242,B,9,101,G
30.0,1,Insert,243,A,9,99,G
30.2,1,Cancel,242,,,,G
30.2,1,Cancel,243,,,,G
30.25,1,Insert,244,B,9,101,G
30.25,1,Insert,245,A,9,99,G
30.45,1,Cancel,244,,,,G
30.45,1,Cancel,245,,,,G
30.5,1,Insert,246,B,9,101,G
30.5,1,Insert,247,A,9,99,G
30.7,1,Cancel,246,,,,G
30.7,1,Cancel,247,,,,G
30.75,1,Insert,248,B,9,101,G
30.75,1,Insert,249,A,9,99,G
30.95,1,Cancel,248,,,,G
30.95,1,Cancel,249,,,,G
31.0,1,Insert,250,B,9,101,G
31.0,1,Insert,251,A,9,99,G
31.2,1,Cancel,250,,,,G
31.2,1,Cancel,251,,,,G
31.25,1,Insert,252,B,9,101,G
31.25,1,Insert,253,A,9,99,G
31.45,1,Cancel,252,,,,G
31.45,1,Cancel,253,,,,G
31.5,1,Insert,254,B,9,101,G
31.5,1,Insert,255,A,9,99,G
31.7,1,Cancel,254,,,,G
31.7,1,Cancel,255,,,,G
31.75,1,Insert,256,B,9,101,G
31.75,1,Insert,257,A,9,99,G
31.95,1,Cancel,256,,,,G
31.95,1,Cancel,257,,,,G
32.0,1,Insert,258,B,9,101,G
32.0,1,Insert,259,A,9,99,G
32.2,1,Cancel,258,,,,G
32.2,1,Cancel,259,,,,G
32.25,1,Insert,260,B,9,101,G
32.25,1,Insert,261,A,9,99,G
32.45,1,Cancel,260,,,,G
32.45,1,Cancel,261,,,,G
32.5,1,Insert,262,B,9,101,G
32.5,1,Insert,263,A,9,99,G
32.7,1,Cancel,262,,,,G
32.7,1,Cancel,263,,,,G
32.75,1,Insert,264,B,9,101,G
32.75,1,Insert,265,A,9,99,G
32.95,1,Cancel,264,,,,G
32.95,1,Cancel,265,,,,G
33.0,1,Insert,266,B,9,101,G
33.0,1,Insert,267,A,9,99,G
33.2,1,Cancel,266,,,,G
33.2,1,Cancel,267,,,,G
33.25,1,Insert,268,B,9,101,G
33.25,1,Insert,269,A,9,99,G
33.45,1,Cancel,268,,,,G
33.45,1,Cancel,269,,,,G
33.5,1,Insert,270,B,9,101,G
33.5,1,Insert,271,A,9,99,G
33.7,1,Cancel,270,,,,G
33.7,1,Cancel,271,,,,G
33.75,1,Insert,272,B,9,101,G
33.75,1,Insert,273,A,9,99,G
33.95,1,Cancel,272,,,,G
33.95,1,Cancel,273,,,,G
34.0,1,Insert,274,B,9,101,G
34.0,1,Insert,275,A,9,99,G
34.2,1,Cancel,274,,,,G
34.2,1,Cancel,275,,,,G
34.25,1,Insert,276,B,9,101,G
34.25,1,Insert,277,A,9,99,G
34.45,1,Cancel,276,,,,G
34.45,1,Cancel,277,,,,G
34.5,1,Insert,278,B,9,101,G
34.5,1,Insert,279,A,9,99,G
34.7,1,Cancel,278,,,,G
34.7,1,Cancel,279,,,,G
34.75,1,Insert,280,B,9,101,G
34.75,1,Insert,281,A,9,99,G
34.95,1,Cancel,280,,,,G
34.95,1,Cancel,281,,,,G
35.0,1,Insert,282,B,9,101,G
35.0,1,Insert,283,A,9,99,G
35.2,1,Cancel,282,,,,G
35.2,1,Cancel,283,,,,G
35.25,1,Insert,284,B,9,101,G
35.25,1,Insert,285,A,9,99,G
35.45,1,Cancel,284,,,,G
35.45,1,Cancel,285,,,,G
35.5,1,Insert,286,B,9,101,G
35.5,1,Insert,287,A,9,99,G
35.7,1,Cancel,286,,,,G
35.7,1,Cancel,287,,,,G
35.75,1,Insert,288,B,9,101,G
35.75,1,Insert,289,A,9,99,G
35.95,1,Cancel,288,,,,G
35.95,1,Cancel,289,,,,G
36.0,1,Insert,290,B,9,101,G
36.0,1,Insert,291,A,9,99,G
36.2,1,Cancel,290,,,,G
36.2,1,Cancel,291,,,,G
36.25,1,Insert,292,B,9,101,G
36.25,1,Insert,293,A,9,99,G
36.45,1,Cancel,292,,,,G
36.45,1,Cancel,293,,,,G
36.5,1,Insert,294,B,9,101,G
36.5,1,Insert,295,A,9,99,G
36.7,1,Cancel,294,,,,G
36.7,1,Cancel,295,,,,G
36.75,1,Insert,296,B,9,101,G
36.75,1,Insert,297,A,9,99,G
36.95,1,Cancel,296,,,,G
36.95,1,Cancel,297,,,,G
37.0,1,Insert,298,B,9,101,G
37.0,1,Insert,299,A,9,99,G
37.2,1,Cancel,298,,,,G
37.2,1,Cancel,299,,,,G
37.25,1,Insert,300,B,9,101,G
37.25,1,Insert,301,A,9,99,G
37.45,1,Cancel,300,,,,G
37.45,1,Cancel,301,,,,G
37.5,1,Insert,302,B,9,101,G
37.5,1,Insert,303,A,9,99,G
37.7,1,Cancel,302,,,,G
37.7,1,Cancel,303,,,,G
37.75,1,Insert,304,B,9,101,G
37.75,1,Insert,305,A,9,99,G
37.95,1,Cancel,304,,,,G
37.95,1,Cancel,305,,,,G
38.0,1,Insert,306,B,9,101,G
38.0,1,Insert,307,A,9,99,G
38.2,1,Cancel,306,,,,G
38.2,1,Cancel,307,,,,G
38.25,1,Insert,308,B,9,101,G
38.25,1,Insert,309,A,9,99,G
38.45,1,Cancel,308,,,,G
38.45,1,Cancel,309,,,,G
38.5,1,Insert,310,B,9,101,G
38.5,1,Insert,311,A,9,99,G
38.7,1,Cancel,310,,,,G
38.7,1,Cancel,311,,,,G
38.75,1,Insert,312,B,9,101,G
38.75,1,Insert,313,A,9,99,G
38.95,1,Cancel,312,,,,G
38.95,1,Cancel,313,,,,G
39.0,1,Insert,314,B,9,101,G
39.0,1,Insert,315,A,9,99,G
39.2,1,Cancel,314,,,,G
39.2,1,Cancel,315,,,,G
39.25,1,Insert,316,B,9,101,G
39.25,1,Insert,317,A,9,99,G
39.45,1,Cancel,316,,,,G
39.45,1,Cancel,317,,,,G
39.5,1,Insert,318,B,9,101,G
39.5,1,Insert,319,A,9,99,G
39.7,1,Cancel,318,,,,G
39.7,1,Cancel,319,,,,G
39.75,1,Insert,320,B,9,101,G
39.75,1,Insert,321,A,9,99,G
39.95,1,Cancel,320,,,,G
39.95,1,Cancel,321,,,,G
40.0,1,Insert,322,B,9,101,G
40.0,1,Insert,323,A,9,99,G
40.2,1,Cancel,322,,,,G
40.2,1,Cancel,323,,,,G
40.25,1,Insert,324,B,9,101,G
40.25,1,Insert,325,A,9,99,G
40.45,1,Cancel,324,,,,G
40.45,1,Cancel,325,,,,G
40.5,1,Insert,326,B,9,101,G
40.5,1,Insert,327,A,9,99,G
40.7,1,Cancel,326,,,,G
40.7,1,Cancel,327,,,,G
40.75,1,Insert,328,B,9,101,G
40.75,1,Insert,329,A,9,99,G
40.95,1,Cancel,328,,,,G
40.95,1,Cancel,329,,,,G
41.0,1,Insert,330,B,9,101,G
41.0,1,Insert,331,A,9,99,G
41.2,1,Cancel,330,,,,G
41.2,1,Cancel,331,,,,G
41.25,1,Insert,332,B,9,101,G
41.25,1,Insert,333,A,9,99,G
41.45,1,Cancel,332,,,,G
41.45,1,Cancel,333,,,,G
41.5,1,Insert,334,B,9,101,G
41.5,1,Insert,335,A,9,99,G
41.7,1,Cancel,334,,,,G
41.7,1,Cancel,335,,,,G
41.75,1,Insert,336,B,9,101,G
41.75,1,Insert,337,A,9,99,G
41.95,1,Cancel,336,,,,G
41.95,1,Cancel,337,,,,G
42.0,1,Insert,338,B,9,101,G
42.0,1,Insert,339,A,9,99,G
42.2,1,Cancel,338,,,,G
42.2,1,Cancel,339,,,,G
42.25,1,Insert,340,B,9,101,G
42.25,1,Insert,341,A,9,99,G
42.45,1,Cancel,340,,,,G
42.45,1,Cancel,341,,,,G
42.5,1,Insert,342,B,9,101,G
42.5,1,Insert,343,A,9,99,G
42.7,1,Cancel,342,,,,G
42.7,1,Cancel,343,,,,G
42.75,1,Insert,344,B,9,101,G
42.75,1,Insert,345,A,9,99,G
42.95,1,Cancel,344,,,,G
42.95,1,Cancel,345,,,,G
43.0,1,Insert,346,B,9,101,G
43.0,1,Insert,347,A,9,99,G
43.2,1,Cancel,346,,,,G
43.2,1,Cancel,347,,,,G
43.25,1,Insert,348,B,9,101,G
43.25,1,Insert,349,A,9,99,G
43.45,1,Cancel,348,,,,G
43.45,1,Cancel,349,,,,G
43.5,1,Insert,350,B,9,101,G
43.5,1,Insert,351,A,9,99,G
43.7,1,Cancel,350,,,,G
43.7,1,Cancel,351,,,,G
43.75,1,Insert,352,B,9,101,G
43.75,1,Insert,353,A,9,99,G
43.95,1,Cancel,352,,,,G
43.95,1,Cancel,353,,,,G
44.0,1,Insert,354,B,9,101,G
44.0,1,Insert,355,A,9,99,G
44.2,1,Cancel,354,,,,G
44.2,1,Cancel,355,,,,G
44.25,1,Insert,356,B,9,101,G
44.25,1,Insert,357,A,9,99,G
44.45,1,Cancel,356,,,,G
44.45,1,Cancel,357,,,,G
44.5,1,Insert,358,B,9,101,G
44.5,1,Insert,359,A,9,99,G
44.7,1,Cancel,358,,,,G
44.7,1,Cancel,359,,,,G
44.75,1,Insert,360,B,9,101,G
44.75,1,Insert,361,A,9,99,G
44.95,1,Cancel,360,,,,G
44.95,1,Cancel,361,,,,G
45.0,1,Insert,362,B,9,101,G
45.0,1,Insert,363,A,9,99,G
45.2,1,Cancel,362,,,,G
45.2,1,Cancel,363,,,,G
45.25,1,Insert,364,B,9,101,G
45.25,1,Insert,365,A,9,99,G
45.45,1,Cancel,364,,,,G
45.45,1,Cancel,365,,,,G
45.5,1,Insert,366,B,9,101,G
45.5,1,Insert,367,A,9,99,G
45.7,1,Cancel,366,,,,G
